file	original_offset	patched_offset	scene	ns_filtered_index	match	translation
Config/button.datu8	85	85	UI-core-v1		1	向上滚动
Config/button.datu8	144	126	UI-core-v1		1	向下滚动
Config/button.datu8	232	196	UI-core-v1		1	固定/解除面板
Config/button.datu8	297	244	UI-core-v1		1	关闭窗口
Config/button.datu8	356	285	UI-core-v1		1	打开TIPS菜单
Config/button.datu8	424	330	UI-core-v1		1	播放语音
Config/button.datu8	477	371	UI-core-v1		1	跳至上一个选项
Config/button.datu8	545	421	UI-core-v1		1	显示历史记录
Config/button.datu8	607	468	UI-core-v1		1	进入自动模式
Config/button.datu8	672	515	UI-core-v1		1	进入跳过模式
Config/button.datu8	740	562	UI-core-v1		1	跳至下一个选项
Config/button.datu8	808	612	UI-core-v1		1	打开保存菜单
Config/button.datu8	873	659	UI-core-v1		1	打开读取菜单
Config/button.datu8	938	706	UI-settings-complete-v1		1	打开Twitter上传界面
Config/button.datu8	1015	760	UI-core-v1		1	打开系统菜单
Config/button.datu8	1083	807	UI-core-v1		1	打开设置菜单
Config/button.datu8	1145	854	UI-core-v1		1	返回标题画面
Config/button.datu8	1236	930	UI-core-v1		1	向上滚动
Config/button.datu8	1875	1551	UI-core-v1		1	向下滚动
Config/button.datu8	1934	1592	UI-core-v1		1	固定/解除面板
Config/button.datu8	2637	2278	UI-core-v1		1	打开保存菜单
Config/button.datu8	2702	2325	UI-core-v1		1	打开读取菜单
Config/button.datu8	2767	2372	UI-core-v1		1	打开设置菜单
Config/button.datu8	2829	2419	UI-core-v1		1	返回标题画面
Config/button.datu8	2891	2466	UI-core-v1		1	退出游戏
Config/button.datu8	2947	2507	UI-core-v1		1	关闭菜单
Config/button.datu8	3032	2577	UI-core-v1		1	固定/解除面板
Config/button.datu8	3097	2625	UI-core-v1		1	结束自动模式
Config/button.datu8	3162	2672	UI-core-v1		1	调整自动模式速度
Config/button.datu8	3265	2754	UI-core-v1		1	固定/解除面板
Config/button.datu8	3330	2802	UI-core-v1		1	结束跳过模式
Config/button.datu8	3398	2849	UI-core-v1		1	调整跳过模式速度
Config/button.datu8	3504	2931	UI-settings-complete-v1		1	以全屏模式显示游戏画面
Config/button.datu8	3590	2993	UI-settings-complete-v1		1	以全屏模式显示游戏画面（固定宽高比与分辨率）
Config/button.datu8	3718	3088	UI-settings-complete-v1		1	以窗口模式显示游戏画面
Config/button.datu8	3807	3150	UI-core-v1		1	允许跳过所有文本
Config/button.datu8	3884	3203	UI-core-v1		1	仅允许跳过已读文本
Config/button.datu8	3958	3259	UI-core-v1		1	调整文本显示速度
Config/button.datu8	4035	3312	UI-core-v1		1	调整窗口透明度
Config/button.datu8	4112	3362	UI-core-v1		1	调整语音播放速度
Config/button.datu8	4183	3415	UI-core-v1		1	调整主音量
Config/button.datu8	4321	3517	UI-extra-v1		1	切换到第1～6号存档
Config/button.datu8	4395	3572	UI-extra-v1		1	切换到第7～12号存档
Config/button.datu8	4472	3628	UI-extra-v1		1	切换到第13～18号存档
Config/button.datu8	4552	3685	UI-extra-v1		1	切换到第19～24号存档
Config/button.datu8	4632	3742	UI-extra-v1		1	切换到第25～30号存档
